Protein,Layer
A0A075B6V3,14
A0A075B709,17
A0A075B712,17
A0A1W2PR64,10
A0A9L9PY38,21
A1L443,11
A6NGB0,29
A6NIK2,8
A6NNJ1,10
O00219,10
O00763,10
O14562,11
O14569,11
O15440,10
O43826,10
O60701,10
O75051,10
O75940,10
O75962,6
O76011,11
O94886,10
O95047,10
O95450,8
O95755,10
O97980,20
P05187,10
P08684,11
P08962,10
P0C7T3,10
P0CG35,11
P10276,10
P14317,9
P17039,16
P19105,10
P20393,10
P23975,10
P28827,14
P31275,8
P35754,10
P36544,10
P56693,11
P59780,14
P61604,10
Q12931,8
Q2MV58,10
Q3T906,10
Q5JSJ4,10
Q5VSP4,10
Q5VVM6,25
Q6NS38,10
Q6NZI2,21
Q6UY01,8
Q6ZQR2,14
Q6ZSZ6,9
Q7L5Y9,10
Q7RTP6,10
Q7Z2Z1,14
Q7Z3B3,11
Q7Z6W7,10
Q86TS9,9
Q86VW1,10
Q8IWV8,10
Q8IY49,10
Q8N3V7,10
Q8N475,7
Q8N9R8,10
Q8NBP0,11
Q8ND94,10
Q8NFT2,11
Q92826,8
Q96AQ9,10
Q96BQ1,10
Q96FA3,10
Q96HW7,11
Q96JY6,10
Q96K83,5
Q96NJ5,10
Q99075,10
Q99714,6
Q99836,10
Q9BQD3,10
Q9BRC7,6
Q9BZC5,11
Q9H159,10
Q9H7U1,11
Q9HBH0,10
Q9NUS5,14
Q9NVL8,20
Q9NVP4,10
Q9P2F6,10
Q9ULV0,10
Q9UMR2,8
Q9UNX3,12
Q9UPT6,11
Q9Y240,10
Q9Y2W6,10
Q9Y490,11
Q9Y6J9,11
A0A994J5G1,23
A4D263,19
A6NDX5,5
A6NL08,10
C9JJ37,10
H3BU77,14
O00189,10
O15072,8
O15218,10
O60487,10
O75150,9
O75914,6
O95096,8
P00352,6
P01033,16
P01375,10
P01717,10
P01889,10
P07355,10
P07910,10
P0CJ74,20
P12883,9
P14136,10
P23610,16
P31939,10
P31947,10
P32320,10
P35442,10
P47869,10
P48729,9
P52943,10
P55771,10
P59036,20
Q01118,7
Q07627,12
Q13166,21
Q14320,16
Q14974,10
Q15020,10
Q2T9J0,13
Q3LI58,20
Q4G0F5,10
Q5GAN4,10
Q5RIA9,10
Q5T5U3,10
Q5TF21,28
Q5VST6,10
Q5VVC0,10
Q5VW32,9
Q6DHY5,16
Q6JQN1,6
Q6NUK4,9
Q6UXG3,10
Q6XYB7,8
Q6ZN16,6
Q7Z2Y5,6
Q7Z403,11
Q7Z7M1,10
Q86YJ5,10
Q8N446,8
Q8N6M8,10
Q8NBE8,10
Q8NCW0,10
Q8NI60,10
Q8TAA5,11
Q8TB61,11
Q8TBM8,10
Q8TEB7,10
Q8TEH3,10
Q8WTR2,6
Q8WW43,10
Q8WXI3,11
Q92543,10
Q93075,10
Q96A11,8
Q96AA3,8
Q96DT0,10
Q96EW2,10
Q96HA4,10
Q96LA8,9
Q96MU5,6
Q96QI5,8
Q9BYG3,10
Q9BYN7,5
Q9BZW8,10
Q9H0U4,10
Q9HCN8,10
Q9NNW7,10
Q9NUL5,10
Q9NY72,10
Q9UHA4,10
Q9UKJ8,8
Q9ULH0,11
Q9UNY5,10
Q9Y2A4,5
Q9Y2C4,10
Q9Y3B2,10
Q9Y3D5,10
Q9Y534,10
A0A075B6J9,10
A0A075B6L2,10
A0A6Q8PFD8,5
A4D0Y5,23
B2RN74,10
O43422,10
O43586,10
O60512,10
O95749,10
P02511,10
P02746,10
P05452,10
P08865,10
P0CJ89,8
P0CW23,11
P0DX00,27
P12081,10
P14867,10
P17302,10
P18850,11
P24855,10
P31944,10
P32418,10
P32942,10
P34925,6
P43366,10
P49069,11
P49761,6
P54920,11
P55286,10
P55895,10
P59542,10
P59923,10
P60893,10
P62837,10
P63128,13
P63132,9
P63215,11
Q01780,10
Q12846,10
Q13319,11
Q13536,20
Q14432,8
Q14699,10
Q15034,11
Q15796,10
Q15814,10
Q3KNT9,11
Q3LI83,11
Q4FZB7,10
Q5TCZ1,16
Q5ZPR3,6
Q6BEB4,14
Q6GMV2,13
Q6IQ21,5
Q6N063,10
Q6P161,11
Q6UW10,16
Q6YP21,6
Q7Z443,9
Q7Z5H4,10
Q86UF2,28
Q86WT1,6
Q8IV01,10
Q8IZQ5,10
Q8IZS6,11
Q8NA70,28
Q8NFQ6,10
Q8NGY1,10
Q8WUN7,12
Q8WV83,10
Q8WXI8,10
Q92783,10
Q96KK3,14
Q96LI5,8
Q96P20,5
Q96SA4,11
Q99453,8
Q99575,10
Q9BVC6,26
Q9BWV1,10
Q9BXB1,10
Q9BY08,10
Q9BYI3,6
Q9BZZ2,6
Q9C0C9,11
Q9H156,11
Q9H2L5,11
Q9HBU6,8
Q9NQ39,9
Q9P296,10
Q9P2S6,6
Q9UBU2,11
Q9ULR3,10
Q9Y2Z9,10
Q9Y316,16
Q9Y3Q7,10
Q9Y4H4,22
Q9Y5E7,10
A0A0A6YYD4,10
A0A1B0GUS4,10
A0A1B0GVD1,10
A0A1B0GVX0,10
A0A7P0TBJ1,10
A0A8I5KQE6,10
A0A9L9PY65,12
A0JD37,10
A1L3X4,22
A2AJT9,11
A6NJ69,11
E5RJM6,6
O00258,11
O00273,11
O14602,12
O15273,16
O60245,10
O75494,10
O75871,10
O95630,10
P02745,10
P05198,10
P09327,10
P10636,11
P17023,6
P18509,21
P19652,10
P19823,10
P20671,10
P30874,10
P32242,8
P33908,10
P49753,10
P51800,11
P59022,14
Q04637,10
Q05215,6
Q0VAF6,10
Q13206,10
Q13261,10
Q13591,10
Q15836,10
Q16570,11
Q2TAY7,11
Q3KNV8,10
Q49AG3,6
Q4V348,5
Q53QW1,11
Q5U5X0,11
Q63ZE4,10
Q66K74,10
Q68DN1,21
Q6AHZ1,8
Q6IB77,9
Q6IF00,10
Q6P3W6,29
Q6PI47,11
Q6YBV0,16
Q6ZNG1,16
Q6ZPB5,29
Q6ZRP0,21
Q7Z7A4,6
Q86UA1,10
Q8IVE3,11
Q8N0S2,2
Q8N2R0,2
Q8N371,10
Q8N3F8,10
Q8N3T1,11
Q8NDI1,10
Q8NEV9,11
Q8NHX4,29
Q8TAV3,10
Q8TB37,10
Q8WVF5,11
Q92526,10
Q92625,10
Q969Q6,10
Q96DR5,16
Q96GI7,10
Q96IL0,11
Q9BTP7,10
Q9BX51,10
Q9C0B7,11
Q9H425,10
Q9H4B0,10
Q9HCE0,11
Q9NPB6,8
Q9NQ79,18
Q9NUD9,10
Q9NV29,11
Q9NVH6,10
Q9NY28,10
Q9NYJ8,11
Q9NZF1,12
Q9UHC1,10
Q9UHL9,21
Q9UJM8,11
Q9UJQ7,10
Q9Y4A0,10
A0A1B0GTU2,10
A0A7I2V4U8,25
A0PJZ0,10
A6NGD5,11
A6NL82,12
O15392,10
O75140,11
O75159,10
O95398,10
O95843,10
O95988,14
P00749,10
P01236,10
P06748,10
P09871,10
P0DPI2,10
P0DV60,21
P10646,10
P10767,10
P13196,6
P13473,10
P14410,10
P30988,10
P34741,24
P35232,16
P36888,6
P37059,10
P46019,10
P46060,6
P46087,6
P48023,10
P48544,14
P51946,16
P59044,5
P62256,10
Q02930,11
Q13387,10
Q13950,10
Q14152,10
Q14667,11
Q14956,10
Q15617,10
Q15700,8
Q3SY17,9
Q4G0J3,11
Q4KMQ2,13
Q5I0X4,10
Q5JNZ3,5
Q5JSP0,10
Q5SVS4,10
Q5T1J6,14
Q5TBE3,14
Q5TC04,20
Q5VT79,10
Q6ICB0,16
Q6UUV7,13
Q6W5P4,10
Q6XE38,12
Q6Y288,10
Q7Z3Y7,10
Q86T29,5
Q8IXE1,10
Q8IXW0,10
Q8N0Y2,14
Q8N184,16
Q8N4T4,10
Q8N4U5,11
Q8N9M1,10
Q8NBL3,9
Q8NCM2,11
Q8NE00,16
Q8NFH3,5
Q8TAX0,2
Q8TER5,10
Q8WWI5,10
Q8WXF8,10
Q92622,11
Q92819,10
Q969Q1,16
Q969S6,12
Q96BI1,10
Q96HT8,31
Q96J02,16
Q96JM4,9
Q96Q83,10
Q96RV3,21
Q96TA0,10
Q9BSY9,16
Q9BW60,16
Q9BWL3,10
Q9NQ50,17
Q9NR63,11
Q9NSI5,6
Q9NZH0,10
Q9NZW4,8
Q9UH65,10
Q9UKZ9,10
Q9XRX5,14
Q9Y4X3,10
A0A075B7E0,14
A0A0A0MS05,10
A0A0C4DH62,17
A0A0G2JLW4,16
A0A1B0GV90,10
A0A9L9PY30,28
A2RRD8,16
A8MV65,11
O14949,14
O43150,11
O43813,6
O60308,10
O60687,10
O75152,10
O76000,10
P01877,10
P01911,10
P06396,10
P0DP08,10
P11766,10
P13584,11
P13765,10
P16070,10
P17676,11
P17812,10
P23409,10
P24071,10
P42166,13
P42785,10
P43235,6
P47897,11
P51788,11
P51813,6
P53674,10
P55851,8
P56962,10
P61587,10
Q06203,10
Q09028,11
Q13607,10
Q14012,6
Q14392,15
Q15233,10
Q16849,10
Q2M329,11
Q49SQ1,10
Q5JPE7,10
Q5R3F8,10
Q5SR56,10
Q5SZK8,10
Q5T2T1,11
Q5UAW9,10
Q68CR7,10
Q6UWP7,8
Q6UXF1,29
Q6ZN04,10
Q7L8C5,10
Q7RTY1,10
Q86TL2,10
Q86UT8,11
Q86V21,10
Q8IVA1,22
Q8N1A6,10
Q8NA69,12
Q8NE01,11
Q8NGE1,10
Q8NH81,10
Q8WVV4,21
Q92585,11
Q92764,10
Q96DU3,10
Q96EK4,10
Q96EY5,10
Q96JH8,10
Q96LZ7,10
Q96MF4,14
Q96P53,2
Q96T55,10
Q99816,10
Q9BRN9,10
Q9BXS1,11
Q9GZN2,8
Q9H2G9,11
Q9H2V7,10
Q9NP77,10
Q9NV88,10
Q9NVV4,10
Q9NYL2,6
Q9P299,14
Q9UGH3,11
Q9UK13,5
Q9UL54,6
Q9ULD6,10
Q9UMD9,12
Q9UPV7,10
Q9UQ16,9
Q9Y3M2,11
Q9Y5K1,10
Q9Y6G5,12
A0A075B6X5,10
A0A075B704,14
A4D0T7,25
O00623,8
O14957,10
O60237,16
O60346,6
O60476,10
O75175,11
O76038,10
O94925,11
O95391,10
O95907,10
O95967,8
P00167,10
P07195,10
P08118,10
P0CJ86,8
P13598,10
P13637,8
P17658,14
P21246,9
P27701,10
P29320,6
P30990,10
P32119,10
P43005,10
P51692,10
P52740,6
P53814,10
P57054,9
P57087,10
P57735,10
Q03060,11
Q12798,10
Q13123,14
Q13643,10
Q14159,11
Q14296,10
Q15022,10
Q16557,6
Q29RF7,10
Q2M2W7,10
Q2TAC2,16
Q3B7J2,11
Q504U0,11
Q52LA3,11
Q52M93,16
Q5GH76,11
Q5GH77,11
Q5RI15,12
Q5SWA1,11
Q5TGJ6,10
Q68DY1,19
Q6NVV7,10
Q6UW01,10
Q6ZNE5,10
Q6ZSB9,10
Q7L3T8,10
Q7RTW8,10
Q86W24,5
Q8IUM7,10
Q8IV13,11
Q8IWG1,10
Q8IX06,10
Q8N300,12
Q8NH43,10
Q8TB73,10
Q8TD23,16
Q8TF39,11
Q92750,9
Q92802,12
Q969Y0,8
Q96A35,10
Q96DF8,11
Q96EL1,24
Q96GA7,12
Q96L96,8
Q96PB8,10
Q96SW2,10
Q96SZ4,14
Q96T59,17
Q9BS18,15
Q9BVR0,10
Q9GIP4,10
Q9GZU1,10
Q9H756,10
Q9HBV1,11
Q9NR22,10
Q9NU53,11
Q9NXJ0,11
Q9UBV2,10
Q9UGI6,10
Q9ULC0,32
Q9ULW2,10
Q9UN86,10
Q9UQ05,8
Q9Y2P0,5
Q9Y466,10
A0A075B6W2,20
A1KXE4,11
A6NEF3,11
A6NHN0,10
A6NHP3,11
A6NIU2,23
A6NKT7,10
I3L0S3,14
O00198,29
O14828,11
O15063,11
O15391,2
O15399,10
O43448,10
O43497,10
O60231,14
O60814,10
O75151,10
O75343,11
O75631,10
O94776,10
O94903,10
P01566,10
P03979,10
P05230,10
P06213,6
P0C7W8,10
P0C7X0,6
P0C841,23
P0DTE7,10
P15056,6
P15173,10
P15421,18
P20823,8
P23588,10
P25800,10
P28290,11
P29965,10
P35270,10
P41231,10
P48549,14
P49326,10
P62079,10
P62269,10
P62701,12
P81133,10
Q05209,14
Q07326,12
Q12905,10
Q13573,11
Q13585,10
Q14954,10
Q2M1V0,8
Q5SRH9,10
Q6DN14,10
Q6UWQ7,10
Q6ZT89,10
Q6ZV77,14
Q70HW3,8
Q7LGC8,10
Q86XJ1,9
Q86Y29,24
Q8N139,10
Q8N4W6,11
Q8N5H3,10
Q8N6V9,16
Q8NEZ3,6
Q8NFU4,12
Q8NGB8,10
Q8NI38,10
Q8TDB6,10
Q8TEM1,10
Q8WWF5,10
Q92572,14
Q92667,10
Q969S2,10
Q96H22,11
Q96I13,10
Q96IR2,16
Q96IZ7,12
Q96JB6,10
Q96MR9,5
Q96PX1,11
Q99459,9
Q99527,10
Q9BRK4,11
Q9BS91,10
Q9BSH4,11
Q9BUB7,13
Q9BWW8,11
Q9BXW7,12
Q9C0E4,8
Q9HBX8,10
Q9HCT0,10
Q9NQX1,22
Q9NVA4,11
Q9NWM3,10
Q9NYT0,10
Q9P0L0,11
Q9Y2E4,6
A0A0B4J1U7,10
A0A8Q3WLD3,28
A0JP26,6
A6NC78,20
A8K830,11
A8MWA4,16
B0L3A2,29
O14948,10
O14978,11
O43280,11
O43296,16
O43903,9
O60658,8
O75638,18
O94763,12
O95999,16
P00492,10
P00751,10
P0DPQ3,14
P10599,10
P11117,16
P11836,21
P12645,10
P13945,10
P14416,10
P18848,11
P29323,6
P30550,10
P33121,6
P37287,8
P43681,10
P46776,10
P47804,10
P49238,10
P49321,10
P49747,10
P52292,10
P52756,10
P53611,6
P53618,10
P53667,6
P62487,10
P85037,10
Q01518,11
Q12830,16
Q12901,5
Q13576,11
Q13614,11
Q15006,6
Q15147,10
Q15365,10
Q15619,10
Q16617,11
Q16706,10
Q19AV6,10
Q3I5F7,10
Q3LHN2,12
Q5EBN2,10
Q5JTV8,11
Q5TGL8,10
Q5VZY2,11
Q6UW78,10
Q6ZN01,10
Q7Z5A7,9
Q7Z5J1,10
Q86UN2,10
Q8IXM3,11
Q8IZA0,10
Q8N7P1,10
Q8TBY9,11
Q8TC59,10
Q8TC90,14
Q8TD55,10
Q8TDI8,10
Q8TDM5,10
Q969F9,10
Q969T4,10
Q96EZ4,2
Q96G21,10
Q96JB2,11
Q96R08,10
Q9BU79,12
Q9BWM7,12
Q9BXT2,9
Q9GZX6,10
Q9H190,8
Q9H3T3,10
Q9H4A5,10
Q9H5V9,10
Q9NPR2,10
Q9NQ84,11
Q9NR81,10
Q9NXE8,14
Q9NYT6,5
Q9P021,11
Q9P278,10
Q9Y337,10
Q9Y3D6,6
Q9Y5K5,16
Q9Y680,9
A0A1B0GTK4,21
A0A1B0GVB3,21
A6NGE4,10
A6NKX4,10
A6QL64,6
A8MPS7,10
A9QM74,10
O15040,10
O15258,28
O43402,10
O43505,10
O43633,16
O43683,10
O60683,11
O60830,10
O75531,10
O76099,10
P04264,11
P05177,10
P09210,16
P09960,10
P0C853,14
P0DML2,10
P10073,10
P11532,8
P13994,11
P15880,10
P23258,10
P29622,10
P30825,10
P37173,6
P37837,10
P50548,10
P52594,22
P55273,6
P59091,14
P59768,11
P60673,10
P61011,8
P61586,10
P62068,10
P67809,10
P98095,10
Q09470,14
Q12912,8
Q12951,10
Q13451,11
Q13574,10
Q14995,10
Q15036,11
Q15654,10
Q16384,11
Q16696,10
Q4G0T1,10
Q5H9F3,11
Q5H9J9,11
Q5JS54,11
Q5T7N2,14
Q5TIE3,10
Q5U649,11
Q68EM7,9
Q6IQ20,10
Q6NUQ4,11
Q709F0,9
Q7L3V2,16
Q7L591,10
Q7Z3K3,8
Q8IWZ6,11
Q8IY45,8
Q8IZK6,10
Q8N690,16
Q8N8W4,10
Q8NEM7,14
Q8NFJ5,11
Q8TAD8,10
Q8TDI0,8
Q8WXD5,10
Q92536,10
Q96BP2,10
Q96BT1,11
Q96I15,10
Q96MY1,10
Q96NJ6,16
Q9BQI3,6
Q9BWH2,12
Q9BXN6,8
Q9HBG6,6
Q9NQQ7,10
Q9NW64,11
Q9NYP3,14
Q9UHF4,10
Q9UI15,10
Q9UI95,14
Q9ULE0,10
Q9UNE7,12
Q9UPI3,10
Q9UPQ0,10
Q9Y468,10
Q9Y4D1,10
Q9Y673,10
A0A0U1RQE8,9
A0A2R8Y2Y2,29
A2RUH7,10
A4D1B5,10
A6NDE8,10
A6NNW6,11
A6NNX1,10
A8TX70,10
C9JVW0,11
F5H094,10
O00628,5
O14548,10
O15127,11
O43439,11
O60287,9
O95076,8
O95170,9
O95780,22
P02489,10
P04920,10
P0C864,12
P0DMR2,12
P10745,10
P16298,10
P16435,11
P20309,10
P21554,10
P21730,10
P26640,11
P28074,14
P29084,12
P40222,17
P40305,25
P42696,10
P43487,10
P49327,11
P51160,6
P51451,6
P55073,10
P55212,10
P60022,16
P69891,10
P98187,11
Q07973,10
Q13227,11
Q15054,14
Q2KHT3,10
Q2KHT4,9
Q58FG1,8
Q5FBB7,11
Q5M775,10
Q5SV17,14
Q5T7B8,10
Q5VYS4,10
Q6EEV6,12
Q6P3W2,16
Q6ZTR6,14
Q765I0,10
Q8N393,5
Q8N755,10
Q8N865,13
Q8N9T8,14
Q8NCS4,11
Q8NDP4,16
Q8NEJ0,10
Q8TA86,10
Q8TAY7,20
Q8TBF5,10
Q8TBN0,10
Q8TDX7,6
Q8WTV1,10
Q8WV37,16
Q8WWQ0,11
Q969F2,10
Q96AV8,9
Q96EL3,12
Q96FN4,10
Q96FV0,6
Q96N66,16
Q96S79,10
Q9BXU3,12
Q9BZE1,19
Q9GZP1,11
Q9GZY4,11
Q9H1K0,11
Q9H3J6,10
Q9HA65,16
Q9NRR6,10
Q9NWQ4,13
Q9NXB0,10
Q9NXG6,10
Q9NZD1,10
Q9P2R6,10
Q9UBG7,10
Q9UIE0,5
Q9UKZ1,11
Q9ULD8,10
Q9UM13,10
Q9Y2R0,10
A0A2R8Y4M2,8
A0A5F9ZHS0,14
A0A5F9ZHU2,20
A2A3L6,6
A3KMH1,10
A5YKK6,10
O00445,10
O14804,10
O43193,10
O43790,10
O60547,10
O60716,6
O60925,12
O75635,10
O75970,8
O94983,14
O95721,11
O95801,6
P01583,10
P01709,10
P01743,10
P01859,10
P03973,20
P07585,6
P08048,5
P0C2W1,10
P0C6A0,10
P10644,9
P13682,16
P13688,10
P15882,10
P19237,11
P21815,22
P25490,2
P26440,6
P35318,10
P36896,6
P43307,10
P48065,10
P54296,6
P56177,8
P56545,6
P59046,5
P60006,11
P62280,10
P62807,10
P82094,11
Q01968,8
Q08345,10
Q0GE19,17
Q12789,9
Q12962,10
Q13601,10
Q14032,10
Q2M3C6,10
Q3MJ16,10
Q4VC31,14
Q5DID0,10
Q5JWR5,10
Q5T0W9,10
Q5U5Z8,10
Q5VWT5,10
Q68CZ1,10
Q6GTS8,16
Q6PJW8,6
Q7L2H7,11
Q86WZ6,11
Q86YT6,11
Q8N0X7,10
Q8N271,10
Q8N2M4,10
Q8N9X3,20
Q8NCP5,10
Q8NGI4,10
Q8WXR4,6
Q96HE9,11
Q96IV0,10
Q96J92,6
Q96ME7,8
Q96R47,10
Q9BRT9,16
Q9BWH6,10
Q9BXR6,10
Q9BYE4,12
Q9BYG8,10
Q9H336,9
Q9HCJ6,11
Q9NRD8,11
Q9NRM7,6
Q9NRZ9,10
Q9NUL7,6
Q9NX05,10
Q9NYB5,10
Q9NZN4,9
Q9UHI7,11
Q9UJT9,9
Q9UPW0,10
Q9Y3B8,10
Q9Y5Y7,10
Q9Y6P5,16
A0A0C4DH90,10
A0A0G2JLJ8,24
A0A1B0GWG4,11
A0A1W2PQ64,10
A0A1W2PQM1,10
A0A1Y8EKQ5,16
A6NEL2,11
A7XYQ1,11
A8MTY0,19
A8MX34,12
B3KU38,10
B9A6J9,16
O14976,6
O43399,11
O43556,10
O43889,11
O60810,10
O75310,10
O76003,10
O94953,8
O95342,10
O95377,10
O95838,10
O96006,6
P04731,22
P05783,11
P09016,8
P20151,10
P25100,10
P35241,10
P35321,12
P41134,14
P43630,10
P48431,11
P49736,8
P60409,6
P61964,8
P78312,11
Q00005,5
Q13541,14
Q14739,11
Q16763,10
Q3KR16,10
Q4VC12,10
Q5FYA8,10
Q5JZY3,6
Q5T5B0,12
Q5VUE5,10
Q68D20,28
Q6KB66,11
Q6UWP8,2
Q6ZTZ1,10
Q6ZW05,12
Q7Z794,11
Q86UX2,10
Q86X95,10
Q86YF9,13
Q8IUS5,10
Q8IVE0,32
Q8IZM8,11
Q8N0V3,10
Q8N1I8,14
Q8N326,10
Q8N6F7,19
Q8N6T7,10
Q8N8Y5,6
Q8NGA8,10
Q8NGW6,10
Q8NH42,10
Q8NHG8,9
Q8NHP6,10
Q8TCT1,10
Q8TE56,8
Q8TEZ7,10
Q8WUB8,11
Q92879,10
Q96A19,11
Q96D71,10
Q96H78,10
Q96KT6,14
Q96S38,6
Q9BS34,6
Q9BTE0,9
Q9BV35,7
Q9BZC7,10
Q9C0B2,10
Q9H3C7,10
Q9HC58,10
Q9NRF8,10
Q9NUL3,10
Q9NV72,16
Q9NZM1,10
Q9UBF1,10
Q9UGF6,10
Q9UI10,10
Q9UKP6,10
Q9Y4Z2,10
Q9Y623,9
Q9Y657,12
Q9Y6Z5,20
A0A075B6Z8,17
A0A0C4DH29,10
A0A0J9YXN1,3
A0A2R8YE69,28
A0AV02,10
A4D1P6,10
A6NDG6,10
A6NFX1,10
B2RPK0,16
O14604,18
O15354,10
O15520,10
O43699,10
O43837,10
O60437,10
O60765,12
O75182,14
O94855,10
O95433,10
O95786,6
P01768,10
P0CG47,11
P0DML3,10
P10071,5
P12107,9
P17213,10
P19544,6
P51523,11
P54107,10
P54136,16
P56750,9
P58340,16
P58397,8
P60866,12
Q04844,10
Q06265,11
Q107X0,14
Q13148,11
Q13237,6
Q13433,10
Q14129,19
Q15477,10
Q15782,10
Q16236,11
Q17RB8,10
Q2M296,10
Q4VXU2,10
Q5HYA8,16
Q5JQS5,10
Q5T3F8,10
Q5VT33,12
Q5VTR2,9
Q5W5W9,19
Q6PDA7,21
Q6VMQ6,11
Q6ZN30,11
Q6ZNC4,11
Q6ZRI0,10
Q75NE6,14
Q7Z333,11
Q7Z422,20
Q86V85,10
Q8IZU1,11
Q8IZX4,10
Q8N1D5,10
Q8N4V2,10
Q8N9P6,14
Q8NH70,10
Q8TE49,14
Q8TF46,10
Q8WVX9,11
Q8WZ60,10
Q92547,10
Q92887,14
Q92973,10
Q969E2,10
Q96BD5,10
Q96C86,10
Q96NY8,10
Q96PL2,10
Q96QU1,10
Q9BQ90,10
Q9BR39,10
Q9BTT0,6
Q9BYH1,10
Q9H1F0,20
Q9H210,10
Q9H9E3,10
Q9NRN7,11
Q9NZY2,29
Q9P2J5,11
Q9UKA2,10
Q9Y2Z2,10
Q9Y5X3,10
Q9Y5Y4,10
Q9Y6M4,9
Q9Y6R0,10
Q9Y6X9,8
A0A075B7D8,10
A0A0A0MT99,14
A0A8V8TND5,25
A6ND36,10
A6NK59,11
C9J798,10
D6RF30,20
H3BV60,10
O00506,6
O14492,10
O14737,10
O95260,9
O95361,16
P01031,6
P01763,10
P03915,10
P07098,10
P07202,11
P0C5Z0,11
P0DPB6,11
P16233,11
P18825,10
P23246,10
P29692,10
P30989,10
P32019,10
P35408,10
P35542,16
P36508,2
P43246,10
P43405,6
P49019,10
P49683,10
P49788,10
P50607,11
P52742,6
P56749,9
P58173,11
P60510,10
P62888,10
P62913,10
P62993,10
P68543,11
Q05586,10
Q05932,6
Q10471,11
Q16891,11
Q2TAL5,10
Q2WGJ9,10
Q4KWH8,6
Q5EE01,10
Q5T089,13
Q5VXH4,10
Q63HM2,16
Q6NUJ5,10
Q6ZR52,5
Q6ZVW7,10
Q7L190,10
Q86SR1,11
Q86U37,10
Q86XW9,10
Q86YN1,11
Q8IUL8,16
Q8IX21,11
Q8N328,11
Q8N4Q0,10
Q8N5S1,10
Q8N7Z5,9
Q8NC24,10
Q8ND83,11
Q8NG66,6
Q8NGX9,10
Q8NH21,10
Q8TAF8,9
Q8TD17,14
Q8WW52,10
Q92949,10
Q96B23,9
Q96CX2,10
Q96FV2,10
Q96JE7,16
Q96NB3,8
Q96PZ0,10
Q9BRH9,6
Q9BSQ5,10
Q9BT88,10
Q9BWD3,16
Q9BY66,8
Q9BZJ7,10
Q9H0B3,9
Q9H1Y0,11
Q9H2D6,10
Q9H6K5,11
Q9HAC7,10
Q9NPI0,12
Q9NSB8,14
Q9UHJ6,10
Q9UID3,10
Q9UPR6,10
Q9Y4E8,11
A0A075B6X3,20
A0A075B7B9,31
A0A087WW87,10
A0A1B0GTJ6,10
A0AVK6,9
A1Z1Q3,10
A6NI15,10
A6NJI9,8
A8MXV6,12
E9PIF3,22
F2Z3F1,23
F5H284,10
M5A8F1,29
O00501,9
O14669,11
O14933,10
O43716,10
O43749,10
O60725,9
O75795,10
P0C7H8,27
P0CJ68,20
P0DN78,10
P10632,10
P16415,16
P35523,11
P49146,10
P51513,8
P52737,5
P52788,10
P53805,10
P59827,10
P62072,10
Q14153,14
Q15053,6
Q68D85,10
Q6F5E7,23
Q6NUI1,9
Q6NUM6,10
Q6PKG0,11
Q6UW02,11
Q6ZMY3,10
Q6ZN08,16
Q6ZRH7,10
Q6ZU52,11
Q6ZV60,18
Q7Z408,10
Q7Z5H3,10
Q86YM7,14
Q8IUX7,10
Q8IV04,10
Q8IV48,10
Q8IVB5,10
Q8IW92,11
Q8IY51,10
Q8IZN3,10
Q8N0Y5,10
Q8N129,10
Q8N4Q1,10
Q8N5W8,10
Q8N910,14
Q8NC74,25
Q8NCQ5,9
Q8NDY6,10
Q8NEK8,10
Q8NGP4,10
Q8NHK3,10
Q8TF47,16
Q8TF64,8
Q8WX39,10
Q969X0,11
Q96A44,10
Q96A57,11
Q96CD0,5
Q96CS4,5
Q96D05,10
Q96HU8,10
Q96KN1,10
Q96PQ5,10
Q96SF7,10
Q96ST8,19
Q99581,10
Q9BQI5,11
Q9BRI3,10
Q9BT81,11
Q9BUL5,10
Q9BUV0,21
Q9BX68,10
Q9C099,11
Q9GZS1,14
Q9HAY6,10
Q9NP61,11
Q9NQX7,16
Q9NTG7,10
Q9NXR8,11
Q9NYI0,10
Q9P2Y5,10
Q9UKJ0,10
Q9UL12,10
Q9UQ74,10
A0A8V8TNH8,10
A0A8V8TPC4,30
A0PJX4,10
A6NK53,5
A8MYP8,10
B2RXH8,10
B7Z1M9,10
O15123,10
O43156,11
O60333,10
O60503,9
O60635,10
O60812,10
O75325,11
O75533,9
O94759,10
O95158,10
O95522,10
P01579,2
P04053,10
P09104,11
P0DP25,10
P35499,7
P41227,9
P41587,10
P50616,13
P52954,8
P56202,10
P60842,6
Q03112,22
Q06828,6
Q13423,10
Q13487,10
Q15029,10
Q15415,9
Q53EV4,6
Q569H4,24
Q5JYT7,10
Q5SQS7,10
Q5SYC1,10
Q5T6M2,29
Q5T6V5,10
Q5TA45,10
Q5VWK5,10
Q5VWW1,10
Q6L9T8,10
Q6ZMB5,11
Q7Z442,9
Q86XD5,10
Q8N111,19
Q8N143,10
Q8N1E6,5
Q8N6Y1,10
Q8N7L0,18
Q8NGF0,10
Q8NH80,10
Q8NH94,10
Q8NHU3,11
Q8NI37,10
Q8WWN8,10
Q8WXE0,11
Q92502,16
Q92552,11
Q92665,10
Q92956,10
Q92993,9
Q96B45,10
Q96I27,6
Q96IQ7,10
Q96M43,11
Q96NT3,16
Q96Q91,10
Q99616,10
Q9BQB4,10
Q9BTV7,16
Q9BTZ2,10
Q9H3S7,10
Q9HBM6,11
Q9NPA0,10
